,Job_Title,Industry,Company_Size,Location,AI_Adoption_Level,Automation_Risk,Required_Skills,Salary_USD,Remote_Friendly,Job_Growth_Projection,long,lat
0,Cybersecurity Analyst,Entertainment,Small,Dubai,Medium,High,UX/UI Design,111392.0,Yes,Growth,25.2048,55.2708
1,Marketing Specialist,Technology,Large,Singapore,Medium,High,Marketing,93793.0,No,Decline,103.8198,1.3521
2,AI Researcher,Technology,Large,Singapore,Medium,High,UX/UI Design,107170.0,Yes,Growth,103.8198,1.3521
3,Sales Manager,Retail,Small,Berlin,Low,High,Project Management,93028.0,No,Growth,13.405,52.52
4,Cybersecurity Analyst,Entertainment,Small,Tokyo,Low,Low,JavaScript,87753.0,Yes,Decline,139.6917,35.6895
5,UX Designer,Education,Large,San Francisco,Medium,Medium,Cybersecurity,102825.0,No,Growth,-122.4194,37.7749
6,HR Manager,Finance,Medium,Singapore,Low,High,Sales,102066.0,Yes,Growth,103.8198,1.3521
7,Cybersecurity Analyst,Technology,Small,Dubai,Medium,Low,Machine Learning,86607.0,Yes,Decline,25.2048,55.2708
8,AI Researcher,Retail,Large,London,High,Low,JavaScript,75016.0,No,Stable,-0.1276,51.5074
9,Sales Manager,Entertainment,Medium,Singapore,High,Low,Cybersecurity,96835.0,Yes,Decline,103.8198,1.3521
10,Marketing Specialist,Finance,Small,London,High,High,Python,91567.0,Yes,Growth,-0.1276,51.5074
11,AI Researcher,Entertainment,Medium,Singapore,Medium,High,UX/UI Design,78903.0,No,Growth,103.8198,1.3521
12,AI Researcher,Transportation,Large,San Francisco,High,Medium,Python,73152.0,Yes,Growth,-122.4194,37.7749
13,HR Manager,Retail,Small,Paris,Low,High,Cybersecurity,98210.0,Yes,Decline,2.3522,48.8566
14,Product Manager,Finance,Medium,Singapore,High,High,JavaScript,101002.0,Yes,Growth,103.8198,1.3521
15,Sales Manager,Telecommunications,Small,Dubai,High,Low,UX/UI Design,82799.0,No,Growth,25.2048,55.2708
16,Software Engineer,Manufacturing,Medium,Singapore,High,Medium,Machine Learning,78401.0,No,Decline,103.8198,1.3521
17,AI Researcher,Manufacturing,Large,Tokyo,Low,High,Project Management,73395.0,No,Stable,139.6917,35.6895
18,Product Manager,Finance,Large,San Francisco,Medium,High,UX/UI Design,97645.0,Yes,Stable,-122.4194,37.7749
19,Software Engineer,Entertainment,Small,Dubai,Low,Low,UX/UI Design,73920.0,Yes,Growth,25.2048,55.2708
